"cnty_fips","display_name","Value","theme_range","airqual","PARKS","sev_housing"
06073,"""San Diego, (CA)""",76.3,"76.0 - 91.3 (584)",10.4,50,25.6
06107,"""Tulare, (CA)""",120.5,"108.7 - 131.0 (582)",17.8,10,27.8
06111,"""Ventura, (CA)""",79.4,"76.0 - 91.3 (584)",11.2,74,24.6
08007,"""Archuleta, (CO)""",55.6,"28.0 - 75.9 (591)",4.4,7,18.6
08029,"""Delta, (CO)""",87.9,"76.0 - 91.3 (584)",5.3,21,19.4
08033,"""Dolores, (CO)""",-1,,4.4,38,18.4
08045,"""Garfield, (CO)""",71.5,"28.0 - 75.9 (591)",5.1,29,22.6
08051,"""Gunnison, (CO)""",-1,,4.2,29,19.2
08053,"""Hinsdale, (CO)""",-1,,3.8,0,14
08067,"""La Plata, (CO)""",62,"28.0 - 75.9 (591)",5,25,17.1
08077,"""Mesa, (CO)""",106.7,"91.4 - 108.6 (588)",6.4,42,17.1
08079,"""Mineral, (CO)""",-1,,3.8,0,7.7
08081,"""Moffat, (CO)""",92.4,"91.4 - 108.6 (588)",4.3,32,14.4
08083,"""Montezuma, (CO)""",76.8,"76.0 - 91.3 (584)",5.1,13,16.9
08085,"""Montrose, (CO)""",78.5,"76.0 - 91.3 (584)",5,5,19.5
08091,"""Ouray, (CO)""",-1,,4.1,2,21.1
08097,"""Pitkin, (CO)""",-1,,4,46,18.2
08103,"""Rio Blanco, (CO)""",-1,,5.7,37,12.3
08107,"""Routt, (CO)""",38.8,"28.0 - 75.9 (591)",3.9,12,20.9
08111,"""San Juan, (CO)""",-1,,4,0,22.1
08113,"""San Miguel, (CO)""",-1,,4.6,33,27.3
16001,"""Ada, (ID)""",69.9,"28.0 - 75.9 (591)",10.6,56,15.5
16005,"""Bannock, (ID)""",66.7,"28.0 - 75.9 (591)",6.7,60,15.5
16007,"""Bear Lake, (ID)""",126.2,"108.7 - 131.0 (582)",5.4,25,9.4
16011,"""Bingham, (ID)""",96.3,"91.4 - 108.6 (588)",7.4,17,14.3
16013,"""Blaine, (ID)""",29.8,"28.0 - 75.9 (591)",6.2,39,18.1
16015,"""Boise, (ID)""",-1,,5.9,7,14.8
16019,"""Bonneville, (ID)""",100.5,"91.4 - 108.6 (588)",7.8,35,12.4
16023,"""Butte, (ID)""",-1,,5.8,35,14.6
16025,"""Camas, (ID)""",-1,,5.4,0,21.5
16027,"""Canyon, (ID)""",103.4,"91.4 - 108.6 (588)",10.7,45,18.1
16029,"""Caribou, (ID)""",-1,,5.9,17,8
16031,"""Cassia, (ID)""",80.1,"76.0 - 91.3 (584)",7.1,26,13.3
16033,"""Clark, (ID)""",-1,,6.2,53,26.8
16037,"""Custer, (ID)""",-1,,5.9,12,11.2
16039,"""Elmore, (ID)""",82.7,"76.0 - 91.3 (584)",7.3,41,14
16041,"""Franklin, (ID)""",54,"28.0 - 75.9 (591)",5.9,27,15.3
16043,"""Fremont, (ID)""",92.1,"91.4 - 108.6 (588)",6.7,8,13.4
16045,"""Gem, (ID)""",90.6,"76.0 - 91.3 (584)",9.4,21,19.5
16047,"""Gooding, (ID)""",130.9,"108.7 - 131.0 (582)",7.5,34,19.3
16051,"""Jefferson, (ID)""",89.6,"76.0 - 91.3 (584)",7.8,6,12.4
16053,"""Jerome, (ID)""",89.4,"76.0 - 91.3 (584)",7.9,46,17.4
16063,"""Lincoln, (ID)""",-1,,6.6,27,16.5
16065,"""Madison, (ID)""",117.4,"108.7 - 131.0 (582)",7.4,42,29.5
16067,"""Minidoka, (ID)""",60.7,"28.0 - 75.9 (591)",7.4,26,12
16071,"""Oneida, (ID)""",144,"131.1 - 349.8 (586)",6,1,15.4
16073,"""Owyhee, (ID)""",98.8,"91.4 - 108.6 (588)",8,1,19.7
16075,"""Payette, (ID)""",108.6,"91.4 - 108.6 (588)",9.2,30,13.6
16077,"""Power, (ID)""",-1,,6.5,51,15.5
16081,"""Teton, (ID)""",-1,,5.4,0,18.1
16083,"""Twin Falls, (ID)""",82.4,"76.0 - 91.3 (584)",7.6,29,14.7
16087,"""Washington, (ID)""",66.4,"28.0 - 75.9 (591)",7.5,33,20.9
32001,"""Churchill, (NV)""",156.9,"131.1 - 349.8 (586)",7.4,24,14.7
32003,"""Clark, (NV)""",108.3,"91.4 - 108.6 (588)",9.4,40,22
32005,"""Douglas, (NV)""",88.8,"76.0 - 91.3 (584)",7.5,26,17
32007,"""Elko, (NV)""",80.4,"76.0 - 91.3 (584)",5.8,8,10.6
32009,"""Esmeralda, (NV)""",-1,,5.2,5,23.7
32011,"""Eureka, (NV)""",-1,,4.7,6,14.3
32013,"""Humboldt, (NV)""",105.6,"91.4 - 108.6 (588)",6.7,5,12.7
32015,"""Lander, (NV)""",114.1,"108.7 - 131.0 (582)",4.8,22,3.3
32017,"""Lincoln, (NV)""",-1,,4.6,16,11.7
32019,"""Lyon, (NV)""",122.7,"108.7 - 131.0 (582)",8.3,15,17.3
32021,"""Mineral, (NV)""",111.7,"108.7 - 131.0 (582)",5.5,50,16.2
32023,"""Nye, (NV)""",148.6,"131.1 - 349.8 (586)",6.5,2,17.7
32027,"""Pershing, (NV)""",123.7,"108.7 - 131.0 (582)",5.7,0,16.6
32029,"""Storey, (NV)""",-1,,7.5,19,15.9
32031,"""Washoe, (NV)""",125.4,"108.7 - 131.0 (582)",8.4,47,22.3
32033,"""White Pine, (NV)""",93.8,"91.4 - 108.6 (588)",4.5,0,6.5
32510,"""Carson City, (NV)""",131,"108.7 - 131.0 (582)",7.2,51,18.6
35003,"""Catron, (NM)""",126.3,"108.7 - 131.0 (582)",4.3,1,8
35006,"""Cibola, (NM)""",107.5,"91.4 - 108.6 (588)",5.2,10,21.9
35013,"""Do̱a Ana, (NM)""",79.2,"76.0 - 91.3 (584)",7.8,9,19
35017,"""Grant, (NM)""",97.4,"91.4 - 108.6 (588)",6,8,13.1
35023,"""Hidalgo, (NM)""",162.7,"131.1 - 349.8 (586)",6.1,14,14.5
35029,"""Luna, (NM)""",135.7,"131.1 - 349.8 (586)",6.9,4,16.2
35031,"""McKinley, (NM)""",86.1,"76.0 - 91.3 (584)",6,9,28.7
35043,"""Sandoval, (NM)""",89.1,"76.0 - 91.3 (584)",7,36,17.5
35045,"""San Juan, (NM)""",82.5,"76.0 - 91.3 (584)",6.5,10,18.8
35051,"""Sierra, (NM)""",192.7,"131.1 - 349.8 (586)",5.5,32,13.4
35053,"""Socorro, (NM)""",127.1,"108.7 - 131.0 (582)",5.2,0,12.8
35061,"""Valencia, (NM)""",103.9,"91.4 - 108.6 (588)",6.3,15,19.5
41023,"""Grant, (OR)""",81.8,"76.0 - 91.3 (584)",6,14,14.2
41025,"""Harney, (OR)""",-1,,6.6,0,15.9
41045,"""Malheur, (OR)""",110.1,"108.7 - 131.0 (582)",9,36,22.3
49001,"""Beaver, (UT)""",-1,,4.7,0,15
49003,"""Box Elder, (UT)""",108.2,"91.4 - 108.6 (588)",7.3,50,9.5
