"cnty_fips","display_name","Value","theme_range","dm_prev_adj","ob_prev_adj","ltpia_prev_adj"
16083,"""Twin Falls, (ID)""",82.4,"76.0 - 91.3 (584)",7.6,33,23.6
16087,"""Washington, (ID)""",66.4,"28.0 - 75.9 (591)",8.6,35.2,27.4
32001,"""Churchill, (NV)""",156.9,"131.1 - 349.8 (586)",6.8,32.4,25.1
32003,"""Clark, (NV)""",108.3,"91.4 - 108.6 (588)",10,25.3,23.5
32005,"""Douglas, (NV)""",88.8,"76.0 - 91.3 (584)",6.1,24.5,18.6
32007,"""Elko, (NV)""",80.4,"76.0 - 91.3 (584)",10,28.7,25.3
32009,"""Esmeralda, (NV)""",-1,,3.4,27.5,27.6
32011,"""Eureka, (NV)""",-1,,6,21.3,20.8
32013,"""Humboldt, (NV)""",105.6,"91.4 - 108.6 (588)",8,33.1,20.4
32015,"""Lander, (NV)""",114.1,"108.7 - 131.0 (582)",14.8,34.9,19.2
32017,"""Lincoln, (NV)""",-1,,5.8,29.9,26.1
32019,"""Lyon, (NV)""",122.7,"108.7 - 131.0 (582)",10.1,35.8,23.3
32021,"""Mineral, (NV)""",111.7,"108.7 - 131.0 (582)",10.1,29.8,28.8
32023,"""Nye, (NV)""",148.6,"131.1 - 349.8 (586)",9.4,33.8,26.3
32027,"""Pershing, (NV)""",123.7,"108.7 - 131.0 (582)",6.1,34.3,27.5
32029,"""Storey, (NV)""",-1,,8.9,22.5,22.9
32031,"""Washoe, (NV)""",125.4,"108.7 - 131.0 (582)",6.7,23.1,17.9
32033,"""White Pine, (NV)""",93.8,"91.4 - 108.6 (588)",7.4,32.9,22.9
32510,"""Carson City, (NV)""",131,"108.7 - 131.0 (582)",9,28.4,21.2
35003,"""Catron, (NM)""",126.3,"108.7 - 131.0 (582)",6.3,25.2,17.6
35006,"""Cibola, (NM)""",107.5,"91.4 - 108.6 (588)",12.7,31.1,28.9
35013,"""Do̱a Ana, (NM)""",79.2,"76.0 - 91.3 (584)",8.2,28.6,16.8
35017,"""Grant, (NM)""",97.4,"91.4 - 108.6 (588)",5.9,27.1,17.6
35023,"""Hidalgo, (NM)""",162.7,"131.1 - 349.8 (586)",6.5,24.1,26.8
35029,"""Luna, (NM)""",135.7,"131.1 - 349.8 (586)",9.1,32.7,25.7
35031,"""McKinley, (NM)""",86.1,"76.0 - 91.3 (584)",16.7,38.6,25.5
35043,"""Sandoval, (NM)""",89.1,"76.0 - 91.3 (584)",6.1,24.7,12.6
35045,"""San Juan, (NM)""",82.5,"76.0 - 91.3 (584)",11.7,33.4,23.4
35051,"""Sierra, (NM)""",192.7,"131.1 - 349.8 (586)",9.4,26.6,23.5
35053,"""Socorro, (NM)""",127.1,"108.7 - 131.0 (582)",14.7,33.6,24.4
35061,"""Valencia, (NM)""",103.9,"91.4 - 108.6 (588)",10.8,31.5,20.6
41023,"""Grant, (OR)""",81.8,"76.0 - 91.3 (584)",5.6,25.7,24.6
41025,"""Harney, (OR)""",-1,,9.3,30.8,20.5
41045,"""Malheur, (OR)""",110.1,"108.7 - 131.0 (582)",7.7,36.2,21
49001,"""Beaver, (UT)""",-1,,7.9,24.4,19.5
49003,"""Box Elder, (UT)""",108.2,"91.4 - 108.6 (588)",8.4,31.8,22.2
49005,"""Cache, (UT)""",47.8,"28.0 - 75.9 (591)",6.8,26.4,15.3
49007,"""Carbon, (UT)""",147.5,"131.1 - 349.8 (586)",8.4,27.1,22.2
49009,"""Daggett, (UT)""",-1,,8.8,27.3,19
49011,"""Davis, (UT)""",68.1,"28.0 - 75.9 (591)",8,26.3,18
49013,"""Duchesne, (UT)""",85.1,"76.0 - 91.3 (584)",8.4,29.6,21.8
49015,"""Emery, (UT)""",121.6,"108.7 - 131.0 (582)",8.2,30.8,18.5
49017,"""Garfield, (UT)""",94.5,"91.4 - 108.6 (588)",6.2,23.1,21.4
49019,"""Grand, (UT)""",56.8,"28.0 - 75.9 (591)",8.1,23.4,13.7
49021,"""Iron, (UT)""",66.6,"28.0 - 75.9 (591)",8.4,26,19.7
49023,"""Juab, (UT)""",-1,,6.9,29,18.8
49025,"""Kane, (UT)""",78.9,"76.0 - 91.3 (584)",6.6,21.9,17.9
49027,"""Millard, (UT)""",41.8,"28.0 - 75.9 (591)",10,31.6,20
49029,"""Morgan, (UT)""",90.9,"76.0 - 91.3 (584)",3.4,18.1,16.8
49031,"""Piute, (UT)""",-1,,5.8,25.9,22.4
49033,"""Rich, (UT)""",-1,,11.2,25.1,28.7
49035,"""Salt Lake, (UT)""",63.3,"28.0 - 75.9 (591)",7.2,24.7,18.1
49037,"""San Juan, (UT)""",47.8,"28.0 - 75.9 (591)",11.2,35.2,22.4
49039,"""Sanpete, (UT)""",73.8,"28.0 - 75.9 (591)",7.5,30.6,23.7
49041,"""Sevier, (UT)""",73.5,"28.0 - 75.9 (591)",8,29.3,23.3
49043,"""Summit, (UT)""",53.5,"28.0 - 75.9 (591)",3.6,13.8,13.5
49045,"""Tooele, (UT)""",60.3,"28.0 - 75.9 (591)",11.6,34.1,24.3
49047,"""Uintah, (UT)""",78.7,"76.0 - 91.3 (584)",10.3,35.2,24.4
49049,"""Utah, (UT)""",61.8,"28.0 - 75.9 (591)",7.5,25.8,16.6
49051,"""Wasatch, (UT)""",78.9,"76.0 - 91.3 (584)",5,23.5,16.4
49053,"""Washington, (UT)""",52,"28.0 - 75.9 (591)",6.7,23.5,17.9
49055,"""Wayne, (UT)""",-1,,6.6,20.9,17.2
49057,"""Weber, (UT)""",76.9,"76.0 - 91.3 (584)",7.7,31.2,20.2
56003,"""Big Horn, (WY)""",121.3,"108.7 - 131.0 (582)",11.1,32.5,26.6
56007,"""Carbon, (WY)""",70.9,"28.0 - 75.9 (591)",6.5,30,27.7
56013,"""Fremont, (WY)""",95.5,"91.4 - 108.6 (588)",8.5,29.4,24.9
56017,"""Hot Springs, (WY)""",115.1,"108.7 - 131.0 (582)",10.7,33.4,24.9
