"cnty_fips","display_name","Value","theme_range","total_cost"
48039,"""Brazoria, (TX)""",189.5,"175.6 - 204.1 (644)",22719
48041,"""Brazos, (TX)""",142.2,"26.6 - 148.6 (644)",20350
48043,"""Brewster, (TX)""",120.8,"26.6 - 148.6 (644)",19394
48047,"""Brooks, (TX)""",207.9,"204.2 - 242.8 (644)",25455
48049,"""Brown, (TX)""",187.1,"175.6 - 204.1 (644)",23445
48051,"""Burleson, (TX)""",293.5,"242.9 - 651.5 (644)",23036
48053,"""Burnet, (TX)""",127.7,"26.6 - 148.6 (644)",20014
48055,"""Caldwell, (TX)""",226.3,"204.2 - 242.8 (644)",22752
48057,"""Calhoun, (TX)""",218.1,"204.2 - 242.8 (644)",23893
48061,"""Cameron, (TX)""",211.5,"204.2 - 242.8 (644)",23101
48071,"""Chambers, (TX)""",221.3,"204.2 - 242.8 (644)",24978
48073,"""Cherokee, (TX)""",220.7,"204.2 - 242.8 (644)",23189
48081,"""Coke, (TX)""",139.1,"26.6 - 148.6 (644)",18815
48083,"""Coleman, (TX)""",270.4,"242.9 - 651.5 (644)",23420
48089,"""Colorado, (TX)""",249.4,"242.9 - 651.5 (644)",22458
48091,"""Comal, (TX)""",165.9,"148.7 - 175.5 (644)",18407
48093,"""Comanche, (TX)""",303,"242.9 - 651.5 (644)",22196
48095,"""Concho, (TX)""",166.2,"148.7 - 175.5 (644)",20304
48099,"""Coryell, (TX)""",238.6,"204.2 - 242.8 (644)",21913
48103,"""Crane, (TX)""",217.4,"204.2 - 242.8 (644)",22699
48105,"""Crockett, (TX)""",495.7,"242.9 - 651.5 (644)",25280
48109,"""Culberson, (TX)""",211.2,"204.2 - 242.8 (644)",35785
48123,"""DeWitt, (TX)""",205.3,"204.2 - 242.8 (644)",21333
48127,"""Dimmit, (TX)""",156.3,"148.7 - 175.5 (644)",22018
48131,"""Duval, (TX)""",260.7,"242.9 - 651.5 (644)",23987
48135,"""Ector, (TX)""",305.2,"242.9 - 651.5 (644)",20649
48137,"""Edwards, (TX)""",181.2,"175.6 - 204.1 (644)",19387
48141,"""El Paso, (TX)""",157,"148.7 - 175.5 (644)",22322
48145,"""Falls, (TX)""",226.6,"204.2 - 242.8 (644)",24153
48149,"""Fayette, (TX)""",250.4,"242.9 - 651.5 (644)",19951
48157,"""Fort Bend, (TX)""",124.2,"26.6 - 148.6 (644)",21905
48161,"""Freestone, (TX)""",232.7,"204.2 - 242.8 (644)",22406
48163,"""Frio, (TX)""",250.3,"242.9 - 651.5 (644)",22927
48167,"""Galveston, (TX)""",162.4,"148.7 - 175.5 (644)",25759
48171,"""Gillespie, (TX)""",165.7,"148.7 - 175.5 (644)",17198
48173,"""Glasscock, (TX)""",260.8,"242.9 - 651.5 (644)",20780
48175,"""Goliad, (TX)""",193.1,"175.6 - 204.1 (644)",23530
48177,"""Gonzales, (TX)""",212.9,"204.2 - 242.8 (644)",20941
48185,"""Grimes, (TX)""",225.9,"204.2 - 242.8 (644)",22336
48187,"""Guadalupe, (TX)""",198.9,"175.6 - 204.1 (644)",20476
48193,"""Hamilton, (TX)""",163.6,"148.7 - 175.5 (644)",18960
48199,"""Hardin, (TX)""",217.4,"204.2 - 242.8 (644)",19789
48201,"""Harris, (TX)""",171,"148.7 - 175.5 (644)",23723
48209,"""Hays, (TX)""",148.3,"26.6 - 148.6 (644)",19317
48215,"""Hidalgo, (TX)""",206.9,"204.2 - 242.8 (644)",22385
48217,"""Hill, (TX)""",253.7,"242.9 - 651.5 (644)",21289
48225,"""Houston, (TX)""",276.8,"242.9 - 651.5 (644)",20392
