"cnty_fips","display_name","Value","theme_range","ou_cost"
08111,"""San Juan, (CO)""",117.1,"26.6 - 148.6 (644)",4132
08113,"""San Miguel, (CO)""",38.1,"26.6 - 148.6 (644)",3296
16001,"""Ada, (ID)""",136.9,"26.6 - 148.6 (644)",4559
16005,"""Bannock, (ID)""",132.6,"26.6 - 148.6 (644)",5084
16007,"""Bear Lake, (ID)""",169.5,"148.7 - 175.5 (644)",6710
16011,"""Bingham, (ID)""",183.1,"175.6 - 204.1 (644)",7631
16013,"""Blaine, (ID)""",74.1,"26.6 - 148.6 (644)",6463
16015,"""Boise, (ID)""",119.8,"26.6 - 148.6 (644)",3368
16019,"""Bonneville, (ID)""",194.2,"175.6 - 204.1 (644)",4518
16023,"""Butte, (ID)""",140.1,"26.6 - 148.6 (644)",8457
16025,"""Camas, (ID)""",119.4,"26.6 - 148.6 (644)",9495
16027,"""Canyon, (ID)""",199.6,"175.6 - 204.1 (644)",4680
16029,"""Caribou, (ID)""",152.6,"148.7 - 175.5 (644)",9460
16031,"""Cassia, (ID)""",154.7,"148.7 - 175.5 (644)",6504
16033,"""Clark, (ID)""",161.7,"148.7 - 175.5 (644)",1494
16037,"""Custer, (ID)""",117.7,"26.6 - 148.6 (644)",5602
16039,"""Elmore, (ID)""",153.6,"148.7 - 175.5 (644)",5062
16041,"""Franklin, (ID)""",110.4,"26.6 - 148.6 (644)",4481
16043,"""Fremont, (ID)""",167.7,"148.7 - 175.5 (644)",4167
16045,"""Gem, (ID)""",170,"148.7 - 175.5 (644)",5108
16047,"""Gooding, (ID)""",200.1,"175.6 - 204.1 (644)",6697
16051,"""Jefferson, (ID)""",192.5,"175.6 - 204.1 (644)",3669
16053,"""Jerome, (ID)""",171.3,"148.7 - 175.5 (644)",5567
16063,"""Lincoln, (ID)""",184.7,"175.6 - 204.1 (644)",4505
16065,"""Madison, (ID)""",206.7,"204.2 - 242.8 (644)",4746
16067,"""Minidoka, (ID)""",120.3,"26.6 - 148.6 (644)",5793
16071,"""Oneida, (ID)""",210.4,"204.2 - 242.8 (644)",5314
16073,"""Owyhee, (ID)""",175.8,"175.6 - 204.1 (644)",4746
16075,"""Payette, (ID)""",199.6,"175.6 - 204.1 (644)",4161
16077,"""Power, (ID)""",135.1,"26.6 - 148.6 (644)",5569
16081,"""Teton, (ID)""",117.2,"26.6 - 148.6 (644)",6167
16083,"""Twin Falls, (ID)""",163.8,"148.7 - 175.5 (644)",5132
16087,"""Washington, (ID)""",168.8,"148.7 - 175.5 (644)",5506
32001,"""Churchill, (NV)""",260.4,"242.9 - 651.5 (644)",4209
32003,"""Clark, (NV)""",211.3,"204.2 - 242.8 (644)",1784
32005,"""Douglas, (NV)""",172.6,"148.7 - 175.5 (644)",4748
32007,"""Elko, (NV)""",157.6,"148.7 - 175.5 (644)",3045
32009,"""Esmeralda, (NV)""",186.5,"175.6 - 204.1 (644)",4172
32011,"""Eureka, (NV)""",231.4,"204.2 - 242.8 (644)",3219
32013,"""Humboldt, (NV)""",220.5,"204.2 - 242.8 (644)",6156
32015,"""Lander, (NV)""",230.2,"204.2 - 242.8 (644)",5388
32017,"""Lincoln, (NV)""",169.6,"148.7 - 175.5 (644)",3695
32019,"""Lyon, (NV)""",239.4,"204.2 - 242.8 (644)",3220
32021,"""Mineral, (NV)""",233.8,"204.2 - 242.8 (644)",4576
32023,"""Nye, (NV)""",252.9,"242.9 - 651.5 (644)",1373
32027,"""Pershing, (NV)""",246.4,"242.9 - 651.5 (644)",6217
32029,"""Storey, (NV)""",241.4,"204.2 - 242.8 (644)",3387
32031,"""Washoe, (NV)""",244.6,"242.9 - 651.5 (644)",2735
32033,"""White Pine, (NV)""",182.3,"175.6 - 204.1 (644)",7291
32510,"""Carson City, (NV)""",250.6,"242.9 - 651.5 (644)",2913
35003,"""Catron, (NM)""",231,"204.2 - 242.8 (644)",3610
35006,"""Cibola, (NM)""",192.9,"175.6 - 204.1 (644)",3811
35013,"""Do̱a Ana, (NM)""",154.6,"148.7 - 175.5 (644)",2965
35017,"""Grant, (NM)""",194.2,"175.6 - 204.1 (644)",3548
35023,"""Hidalgo, (NM)""",224.6,"204.2 - 242.8 (644)",3750
35029,"""Luna, (NM)""",255.2,"242.9 - 651.5 (644)",4594
35031,"""McKinley, (NM)""",172.9,"148.7 - 175.5 (644)",3317
35043,"""Sandoval, (NM)""",173.6,"148.7 - 175.5 (644)",3045
35045,"""San Juan, (NM)""",160.3,"148.7 - 175.5 (644)",3647
35051,"""Sierra, (NM)""",330.6,"242.9 - 651.5 (644)",4206
35053,"""Socorro, (NM)""",240.4,"204.2 - 242.8 (644)",4142
35061,"""Valencia, (NM)""",195.1,"175.6 - 204.1 (644)",3539
41023,"""Grant, (OR)""",156,"148.7 - 175.5 (644)",5468
41025,"""Harney, (OR)""",138.2,"26.6 - 148.6 (644)",5843
41045,"""Malheur, (OR)""",201.3,"175.6 - 204.1 (644)",4712
49001,"""Beaver, (UT)""",129.7,"26.6 - 148.6 (644)",6347
49003,"""Box Elder, (UT)""",201.6,"175.6 - 204.1 (644)",3924
49005,"""Cache, (UT)""",97.2,"26.6 - 148.6 (644)",4421
49007,"""Carbon, (UT)""",249.4,"242.9 - 651.5 (644)",3415
49009,"""Daggett, (UT)""",153.3,"148.7 - 175.5 (644)",2589
49011,"""Davis, (UT)""",132.1,"26.6 - 148.6 (644)",3592
49013,"""Duchesne, (UT)""",155.1,"148.7 - 175.5 (644)",3837
49015,"""Emery, (UT)""",219.5,"204.2 - 242.8 (644)",3321
49017,"""Garfield, (UT)""",138.1,"26.6 - 148.6 (644)",5150
49019,"""Grand, (UT)""",138.4,"26.6 - 148.6 (644)",5693
49021,"""Iron, (UT)""",120.5,"26.6 - 148.6 (644)",3653
49023,"""Juab, (UT)""",120.5,"26.6 - 148.6 (644)",5062
49025,"""Kane, (UT)""",162.1,"148.7 - 175.5 (644)",4492
49027,"""Millard, (UT)""",123,"26.6 - 148.6 (644)",3623
49029,"""Morgan, (UT)""",133.6,"26.6 - 148.6 (644)",3983
49031,"""Piute, (UT)""",151.7,"148.7 - 175.5 (644)",4331
49033,"""Rich, (UT)""",133.8,"26.6 - 148.6 (644)",3737
49035,"""Salt Lake, (UT)""",123.5,"26.6 - 148.6 (644)",3605
49037,"""San Juan, (UT)""",131.9,"26.6 - 148.6 (644)",7775
49039,"""Sanpete, (UT)""",139.8,"26.6 - 148.6 (644)",4068
49041,"""Sevier, (UT)""",144.5,"26.6 - 148.6 (644)",3496
49043,"""Summit, (UT)""",115.2,"26.6 - 148.6 (644)",4734
49045,"""Tooele, (UT)""",122.5,"26.6 - 148.6 (644)",4004
49047,"""Uintah, (UT)""",156.2,"148.7 - 175.5 (644)",3955
49049,"""Utah, (UT)""",121,"26.6 - 148.6 (644)",2883
