"cnty_fips","display_name","Value","theme_range","total_inc"
49007,"""Carbon, (UT)""",249.4,"242.9 - 651.5 (644)",12092
49009,"""Daggett, (UT)""",153.3,"148.7 - 175.5 (644)",9973
49011,"""Davis, (UT)""",132.1,"26.6 - 148.6 (644)",11425
49013,"""Duchesne, (UT)""",155.1,"148.7 - 175.5 (644)",9979
49015,"""Emery, (UT)""",219.5,"204.2 - 242.8 (644)",9124
49017,"""Garfield, (UT)""",138.1,"26.6 - 148.6 (644)",17109
49019,"""Grand, (UT)""",138.4,"26.6 - 148.6 (644)",13748
49021,"""Iron, (UT)""",120.5,"26.6 - 148.6 (644)",10133
49023,"""Juab, (UT)""",120.5,"26.6 - 148.6 (644)",16588
49025,"""Kane, (UT)""",162.1,"148.7 - 175.5 (644)",10565
49027,"""Millard, (UT)""",123,"26.6 - 148.6 (644)",11524
49029,"""Morgan, (UT)""",133.6,"26.6 - 148.6 (644)",12304
49031,"""Piute, (UT)""",151.7,"148.7 - 175.5 (644)",14826
49033,"""Rich, (UT)""",133.8,"26.6 - 148.6 (644)",13260
49035,"""Salt Lake, (UT)""",123.5,"26.6 - 148.6 (644)",12277
49037,"""San Juan, (UT)""",131.9,"26.6 - 148.6 (644)",15534
49039,"""Sanpete, (UT)""",139.8,"26.6 - 148.6 (644)",11002
49041,"""Sevier, (UT)""",144.5,"26.6 - 148.6 (644)",9878
49043,"""Summit, (UT)""",115.2,"26.6 - 148.6 (644)",10425
49045,"""Tooele, (UT)""",122.5,"26.6 - 148.6 (644)",14048
49047,"""Uintah, (UT)""",156.2,"148.7 - 175.5 (644)",13185
49049,"""Utah, (UT)""",121,"26.6 - 148.6 (644)",11155
49051,"""Wasatch, (UT)""",125.4,"26.6 - 148.6 (644)",10456
49053,"""Washington, (UT)""",101.8,"26.6 - 148.6 (644)",9052
49055,"""Wayne, (UT)""",147.2,"26.6 - 148.6 (644)",11921
49057,"""Weber, (UT)""",149.2,"148.7 - 175.5 (644)",11643
56003,"""Big Horn, (WY)""",209,"204.2 - 242.8 (644)",13296
56007,"""Carbon, (WY)""",149.2,"148.7 - 175.5 (644)",14805
56013,"""Fremont, (WY)""",183.2,"175.6 - 204.1 (644)",12669
56017,"""Hot Springs, (WY)""",180.9,"175.6 - 204.1 (644)",13204
56023,"""Lincoln, (WY)""",140,"26.6 - 148.6 (644)",11171
56025,"""Natrona, (WY)""",178.7,"175.6 - 204.1 (644)",12881
56029,"""Park, (WY)""",137.7,"26.6 - 148.6 (644)",13100
56035,"""Sublette, (WY)""",133.7,"26.6 - 148.6 (644)",10599
56037,"""Sweetwater, (WY)""",187.6,"175.6 - 204.1 (644)",15251
56039,"""Teton, (WY)""",78.3,"26.6 - 148.6 (644)",9613
56041,"""Uinta, (WY)""",153.3,"148.7 - 175.5 (644)",11774
56043,"""Washakie, (WY)""",149.5,"148.7 - 175.5 (644)",19920
22031,"""De Soto, (LA)""",177.5,"175.6 - 204.1 (644)",14968
48001,"""Anderson, (TX)""",202.1,"175.6 - 204.1 (644)",16800
48005,"""Angelina, (TX)""",228.3,"204.2 - 242.8 (644)",14934
48007,"""Aransas, (TX)""",240.8,"204.2 - 242.8 (644)",13587
48013,"""Atascosa, (TX)""",202.5,"175.6 - 204.1 (644)",15475
48015,"""Austin, (TX)""",237.1,"204.2 - 242.8 (644)",15637
48019,"""Bandera, (TX)""",167.7,"148.7 - 175.5 (644)",10430
48021,"""Bastrop, (TX)""",167.8,"148.7 - 175.5 (644)",13678
48025,"""Bee, (TX)""",192.6,"175.6 - 204.1 (644)",20384
48027,"""Bell, (TX)""",192.1,"175.6 - 204.1 (644)",15125
48029,"""Bexar, (TX)""",174.5,"148.7 - 175.5 (644)",14366
48031,"""Blanco, (TX)""",131,"26.6 - 148.6 (644)",10824
48035,"""Bosque, (TX)""",267.7,"242.9 - 651.5 (644)",12601
48039,"""Brazoria, (TX)""",189.5,"175.6 - 204.1 (644)",16847
48041,"""Brazos, (TX)""",142.2,"26.6 - 148.6 (644)",14089
48043,"""Brewster, (TX)""",120.8,"26.6 - 148.6 (644)",14665
48047,"""Brooks, (TX)""",207.9,"204.2 - 242.8 (644)",19722
48049,"""Brown, (TX)""",187.1,"175.6 - 204.1 (644)",16275
48051,"""Burleson, (TX)""",293.5,"242.9 - 651.5 (644)",17462
48053,"""Burnet, (TX)""",127.7,"26.6 - 148.6 (644)",13452
48055,"""Caldwell, (TX)""",226.3,"204.2 - 242.8 (644)",16546
48057,"""Calhoun, (TX)""",218.1,"204.2 - 242.8 (644)",16484
48061,"""Cameron, (TX)""",211.5,"204.2 - 242.8 (644)",17647
48071,"""Chambers, (TX)""",221.3,"204.2 - 242.8 (644)",18819
48073,"""Cherokee, (TX)""",220.7,"204.2 - 242.8 (644)",16053
48081,"""Coke, (TX)""",139.1,"26.6 - 148.6 (644)",12516
48083,"""Coleman, (TX)""",270.4,"242.9 - 651.5 (644)",16567
48089,"""Colorado, (TX)""",249.4,"242.9 - 651.5 (644)",15860
48091,"""Comal, (TX)""",165.9,"148.7 - 175.5 (644)",12303
48093,"""Comanche, (TX)""",303,"242.9 - 651.5 (644)",15937
