"cnty_fips","display_name","Value","theme_range","pac_inc"
32015,"""Lander, (NV)""",230.2,"204.2 - 242.8 (644)",1247
32017,"""Lincoln, (NV)""",169.6,"148.7 - 175.5 (644)",2986
32019,"""Lyon, (NV)""",239.4,"204.2 - 242.8 (644)",2360
32021,"""Mineral, (NV)""",233.8,"204.2 - 242.8 (644)",5039
32023,"""Nye, (NV)""",252.9,"242.9 - 651.5 (644)",3774
32027,"""Pershing, (NV)""",246.4,"242.9 - 651.5 (644)",3078
32029,"""Storey, (NV)""",241.4,"204.2 - 242.8 (644)",3101
32031,"""Washoe, (NV)""",244.6,"242.9 - 651.5 (644)",2455
32033,"""White Pine, (NV)""",182.3,"175.6 - 204.1 (644)",3035
32510,"""Carson City, (NV)""",250.6,"242.9 - 651.5 (644)",2993
35003,"""Catron, (NM)""",231,"204.2 - 242.8 (644)",2604
35006,"""Cibola, (NM)""",192.9,"175.6 - 204.1 (644)",3477
35013,"""Do̱a Ana, (NM)""",154.6,"148.7 - 175.5 (644)",3193
35017,"""Grant, (NM)""",194.2,"175.6 - 204.1 (644)",2341
35023,"""Hidalgo, (NM)""",224.6,"204.2 - 242.8 (644)",3109
35029,"""Luna, (NM)""",255.2,"242.9 - 651.5 (644)",3492
35031,"""McKinley, (NM)""",172.9,"148.7 - 175.5 (644)",2353
35043,"""Sandoval, (NM)""",173.6,"148.7 - 175.5 (644)",2412
35045,"""San Juan, (NM)""",160.3,"148.7 - 175.5 (644)",2769
35051,"""Sierra, (NM)""",330.6,"242.9 - 651.5 (644)",3414
35053,"""Socorro, (NM)""",240.4,"204.2 - 242.8 (644)",1951
35061,"""Valencia, (NM)""",195.1,"175.6 - 204.1 (644)",2343
41023,"""Grant, (OR)""",156,"148.7 - 175.5 (644)",4057
41025,"""Harney, (OR)""",138.2,"26.6 - 148.6 (644)",1741
41045,"""Malheur, (OR)""",201.3,"175.6 - 204.1 (644)",2999
49001,"""Beaver, (UT)""",129.7,"26.6 - 148.6 (644)",5116
49003,"""Box Elder, (UT)""",201.6,"175.6 - 204.1 (644)",2755
49005,"""Cache, (UT)""",97.2,"26.6 - 148.6 (644)",2392
49007,"""Carbon, (UT)""",249.4,"242.9 - 651.5 (644)",2831
49009,"""Daggett, (UT)""",153.3,"148.7 - 175.5 (644)",2462
49011,"""Davis, (UT)""",132.1,"26.6 - 148.6 (644)",2797
49013,"""Duchesne, (UT)""",155.1,"148.7 - 175.5 (644)",1955
49015,"""Emery, (UT)""",219.5,"204.2 - 242.8 (644)",2333
49017,"""Garfield, (UT)""",138.1,"26.6 - 148.6 (644)",4054
49019,"""Grand, (UT)""",138.4,"26.6 - 148.6 (644)",3966
49021,"""Iron, (UT)""",120.5,"26.6 - 148.6 (644)",1918
49023,"""Juab, (UT)""",120.5,"26.6 - 148.6 (644)",4518
49025,"""Kane, (UT)""",162.1,"148.7 - 175.5 (644)",1722
49027,"""Millard, (UT)""",123,"26.6 - 148.6 (644)",4288
49029,"""Morgan, (UT)""",133.6,"26.6 - 148.6 (644)",2644
49031,"""Piute, (UT)""",151.7,"148.7 - 175.5 (644)",6106
49033,"""Rich, (UT)""",133.8,"26.6 - 148.6 (644)",1781
49035,"""Salt Lake, (UT)""",123.5,"26.6 - 148.6 (644)",3032
49037,"""San Juan, (UT)""",131.9,"26.6 - 148.6 (644)",2369
49039,"""Sanpete, (UT)""",139.8,"26.6 - 148.6 (644)",2439
49041,"""Sevier, (UT)""",144.5,"26.6 - 148.6 (644)",2519
49043,"""Summit, (UT)""",115.2,"26.6 - 148.6 (644)",2047
49045,"""Tooele, (UT)""",122.5,"26.6 - 148.6 (644)",3461
49047,"""Uintah, (UT)""",156.2,"148.7 - 175.5 (644)",2089
49049,"""Utah, (UT)""",121,"26.6 - 148.6 (644)",3004
49051,"""Wasatch, (UT)""",125.4,"26.6 - 148.6 (644)",1896
49053,"""Washington, (UT)""",101.8,"26.6 - 148.6 (644)",1757
49055,"""Wayne, (UT)""",147.2,"26.6 - 148.6 (644)",3909
49057,"""Weber, (UT)""",149.2,"148.7 - 175.5 (644)",2999
56003,"""Big Horn, (WY)""",209,"204.2 - 242.8 (644)",2347
56007,"""Carbon, (WY)""",149.2,"148.7 - 175.5 (644)",3263
56013,"""Fremont, (WY)""",183.2,"175.6 - 204.1 (644)",1902
56017,"""Hot Springs, (WY)""",180.9,"175.6 - 204.1 (644)",1465
56023,"""Lincoln, (WY)""",140,"26.6 - 148.6 (644)",2397
56025,"""Natrona, (WY)""",178.7,"175.6 - 204.1 (644)",2945
56029,"""Park, (WY)""",137.7,"26.6 - 148.6 (644)",1647
56035,"""Sublette, (WY)""",133.7,"26.6 - 148.6 (644)",1414
56037,"""Sweetwater, (WY)""",187.6,"175.6 - 204.1 (644)",3690
56039,"""Teton, (WY)""",78.3,"26.6 - 148.6 (644)",1430
56041,"""Uinta, (WY)""",153.3,"148.7 - 175.5 (644)",3030
56043,"""Washakie, (WY)""",149.5,"148.7 - 175.5 (644)",3709
22031,"""De Soto, (LA)""",177.5,"175.6 - 204.1 (644)",5147
48001,"""Anderson, (TX)""",202.1,"175.6 - 204.1 (644)",5540
48005,"""Angelina, (TX)""",228.3,"204.2 - 242.8 (644)",4352
48007,"""Aransas, (TX)""",240.8,"204.2 - 242.8 (644)",4186
48013,"""Atascosa, (TX)""",202.5,"175.6 - 204.1 (644)",5181
48015,"""Austin, (TX)""",237.1,"204.2 - 242.8 (644)",3730
48019,"""Bandera, (TX)""",167.7,"148.7 - 175.5 (644)",2449
48021,"""Bastrop, (TX)""",167.8,"148.7 - 175.5 (644)",3729
48025,"""Bee, (TX)""",192.6,"175.6 - 204.1 (644)",7883
48027,"""Bell, (TX)""",192.1,"175.6 - 204.1 (644)",3678
48029,"""Bexar, (TX)""",174.5,"148.7 - 175.5 (644)",4245
48031,"""Blanco, (TX)""",131,"26.6 - 148.6 (644)",3064
48035,"""Bosque, (TX)""",267.7,"242.9 - 651.5 (644)",3174
48039,"""Brazoria, (TX)""",189.5,"175.6 - 204.1 (644)",4588
48041,"""Brazos, (TX)""",142.2,"26.6 - 148.6 (644)",4033
48043,"""Brewster, (TX)""",120.8,"26.6 - 148.6 (644)",4506
48047,"""Brooks, (TX)""",207.9,"204.2 - 242.8 (644)",7779
48049,"""Brown, (TX)""",187.1,"175.6 - 204.1 (644)",5152
48051,"""Burleson, (TX)""",293.5,"242.9 - 651.5 (644)",5147
48053,"""Burnet, (TX)""",127.7,"26.6 - 148.6 (644)",3350
48055,"""Caldwell, (TX)""",226.3,"204.2 - 242.8 (644)",5560
48057,"""Calhoun, (TX)""",218.1,"204.2 - 242.8 (644)",5324
48061,"""Cameron, (TX)""",211.5,"204.2 - 242.8 (644)",5826
48071,"""Chambers, (TX)""",221.3,"204.2 - 242.8 (644)",5728
48073,"""Cherokee, (TX)""",220.7,"204.2 - 242.8 (644)",4965
48081,"""Coke, (TX)""",139.1,"26.6 - 148.6 (644)",3205
48083,"""Coleman, (TX)""",270.4,"242.9 - 651.5 (644)",4633
48089,"""Colorado, (TX)""",249.4,"242.9 - 651.5 (644)",4699
48091,"""Comal, (TX)""",165.9,"148.7 - 175.5 (644)",3667
48093,"""Comanche, (TX)""",303,"242.9 - 651.5 (644)",4201
48095,"""Concho, (TX)""",166.2,"148.7 - 175.5 (644)",2521
48099,"""Coryell, (TX)""",238.6,"204.2 - 242.8 (644)",4361
48103,"""Crane, (TX)""",217.4,"204.2 - 242.8 (644)",8314
48105,"""Crockett, (TX)""",495.7,"242.9 - 651.5 (644)",7980
48109,"""Culberson, (TX)""",211.2,"204.2 - 242.8 (644)",14654
48123,"""DeWitt, (TX)""",205.3,"204.2 - 242.8 (644)",5124
48127,"""Dimmit, (TX)""",156.3,"148.7 - 175.5 (644)",4471
48131,"""Duval, (TX)""",260.7,"242.9 - 651.5 (644)",7386
48135,"""Ector, (TX)""",305.2,"242.9 - 651.5 (644)",5592
48137,"""Edwards, (TX)""",181.2,"175.6 - 204.1 (644)",4174
48141,"""El Paso, (TX)""",157,"148.7 - 175.5 (644)",5290
48145,"""Falls, (TX)""",226.6,"204.2 - 242.8 (644)",5446
48149,"""Fayette, (TX)""",250.4,"242.9 - 651.5 (644)",3754
48157,"""Fort Bend, (TX)""",124.2,"26.6 - 148.6 (644)",4586
