"cnty_fips","display_name","Value","theme_range","dm_prev_adj","ob_prev_adj","ltpia_prev_adj"
06003,"""Alpine, (CA)""",191.6,"175.6 - 204.1 (644)",4.6,20.9,19
06019,"""Fresno, (CA)""",205.7,"204.2 - 242.8 (644)",10.7,31.4,19.9
06025,"""Imperial, (CA)""",151.3,"148.7 - 175.5 (644)",9,34.6,31.2
06027,"""Inyo, (CA)""",188.9,"175.6 - 204.1 (644)",6.9,27.4,25.3
06029,"""Kern, (CA)""",247.1,"242.9 - 651.5 (644)",9.5,32.2,22.5
06037,"""Los Angeles, (CA)""",198.6,"175.6 - 204.1 (644)",8.1,21.4,16.3
06039,"""Madera, (CA)""",173.5,"148.7 - 175.5 (644)",11.6,35.8,27.6
06051,"""Mono, (CA)""",150.9,"148.7 - 175.5 (644)",5.1,24.6,17.2
06059,"""Orange, (CA)""",148.8,"148.7 - 175.5 (644)",7.8,19,14.9
06065,"""Riverside, (CA)""",211.7,"204.2 - 242.8 (644)",8.7,27,20.3
06071,"""San Bernardino, (CA)""",206.7,"204.2 - 242.8 (644)",9.4,28.6,22.9
06073,"""San Diego, (CA)""",149,"148.7 - 175.5 (644)",6.9,20.2,14.3
06107,"""Tulare, (CA)""",234.9,"204.2 - 242.8 (644)",9.3,37.1,26.9
06111,"""Ventura, (CA)""",156.6,"148.7 - 175.5 (644)",8.3,20.3,16.9
08007,"""Archuleta, (CO)""",136.8,"26.6 - 148.6 (644)",3,23.2,12.2
08029,"""Delta, (CO)""",174.5,"148.7 - 175.5 (644)",7,26.6,18.7
08033,"""Dolores, (CO)""",130.2,"26.6 - 148.6 (644)",3.9,19,16.1
08045,"""Garfield, (CO)""",140.2,"26.6 - 148.6 (644)",4.2,23.1,13.9
08051,"""Gunnison, (CO)""",88.4,"26.6 - 148.6 (644)",2.5,16.5,14.6
08053,"""Hinsdale, (CO)""",114.7,"26.6 - 148.6 (644)",3.2,23.4,22.4
08067,"""La Plata, (CO)""",134.9,"26.6 - 148.6 (644)",4.4,18,13.3
08077,"""Mesa, (CO)""",207.6,"204.2 - 242.8 (644)",7,23.3,14.8
08079,"""Mineral, (CO)""",139.1,"26.6 - 148.6 (644)",3.7,19.4,16.1
08081,"""Moffat, (CO)""",170.8,"148.7 - 175.5 (644)",7.2,26.1,20.9
08083,"""Montezuma, (CO)""",152.5,"148.7 - 175.5 (644)",10.1,27.3,20.5
08085,"""Montrose, (CO)""",153.1,"148.7 - 175.5 (644)",5.7,20.6,16.3
08091,"""Ouray, (CO)""",84,"26.6 - 148.6 (644)",4.6,20.5,16.3
08097,"""Pitkin, (CO)""",39.7,"26.6 - 148.6 (644)",1.5,13.2,13.2
08103,"""Rio Blanco, (CO)""",130.6,"26.6 - 148.6 (644)",3.3,25.4,18.3
08107,"""Routt, (CO)""",79.8,"26.6 - 148.6 (644)",2.9,14.8,10.2
08111,"""San Juan, (CO)""",117.1,"26.6 - 148.6 (644)",3.1,23.3,20.2
08113,"""San Miguel, (CO)""",38.1,"26.6 - 148.6 (644)",1.7,17.6,15.2
16001,"""Ada, (ID)""",136.9,"26.6 - 148.6 (644)",7.4,25.3,14.6
16005,"""Bannock, (ID)""",132.6,"26.6 - 148.6 (644)",8.9,32,20.5
16007,"""Bear Lake, (ID)""",169.5,"148.7 - 175.5 (644)",5.9,26.2,18.5
16011,"""Bingham, (ID)""",183.1,"175.6 - 204.1 (644)",11.1,31,25.1
16013,"""Blaine, (ID)""",74.1,"26.6 - 148.6 (644)",3.3,14.6,14
16015,"""Boise, (ID)""",119.8,"26.6 - 148.6 (644)",9.3,30,23.1
16019,"""Bonneville, (ID)""",194.2,"175.6 - 204.1 (644)",8.7,28.9,19.9
16023,"""Butte, (ID)""",140.1,"26.6 - 148.6 (644)",6.6,28.3,26.7
16025,"""Camas, (ID)""",119.4,"26.6 - 148.6 (644)",3.8,23.3,21.4
16027,"""Canyon, (ID)""",199.6,"175.6 - 204.1 (644)",9.1,34.8,24.5
16029,"""Caribou, (ID)""",152.6,"148.7 - 175.5 (644)",11.3,29.8,23.2
16031,"""Cassia, (ID)""",154.7,"148.7 - 175.5 (644)",10.4,37.9,24.2
16033,"""Clark, (ID)""",161.7,"148.7 - 175.5 (644)",2.8,28,21.8
16037,"""Custer, (ID)""",117.7,"26.6 - 148.6 (644)",5.1,27,23.3
16039,"""Elmore, (ID)""",153.6,"148.7 - 175.5 (644)",10.8,35.3,25.6
16041,"""Franklin, (ID)""",110.4,"26.6 - 148.6 (644)",6.8,33.4,26.9
16043,"""Fremont, (ID)""",167.7,"148.7 - 175.5 (644)",9.9,29.8,21.4
16045,"""Gem, (ID)""",170,"148.7 - 175.5 (644)",8.9,37.3,30
16047,"""Gooding, (ID)""",200.1,"175.6 - 204.1 (644)",9.3,33.9,27
16051,"""Jefferson, (ID)""",192.5,"175.6 - 204.1 (644)",10.5,31.7,22.2
16053,"""Jerome, (ID)""",171.3,"148.7 - 175.5 (644)",6.4,31.8,27.9
16063,"""Lincoln, (ID)""",184.7,"175.6 - 204.1 (644)",11.3,28.5,28.9
16065,"""Madison, (ID)""",206.7,"204.2 - 242.8 (644)",9.9,28.5,19.9
16067,"""Minidoka, (ID)""",120.3,"26.6 - 148.6 (644)",11.6,34,28.9
