"cnty_fips","display_name","Value","theme_range","pac_cost"
08083,"""Montezuma, (CO)""",152.5,"148.7 - 175.5 (644)",1896
08085,"""Montrose, (CO)""",153.1,"148.7 - 175.5 (644)",1859
08091,"""Ouray, (CO)""",84,"26.6 - 148.6 (644)",2126
08097,"""Pitkin, (CO)""",39.7,"26.6 - 148.6 (644)",2237
08103,"""Rio Blanco, (CO)""",130.6,"26.6 - 148.6 (644)",8366
08107,"""Routt, (CO)""",79.8,"26.6 - 148.6 (644)",2593
08111,"""San Juan, (CO)""",117.1,"26.6 - 148.6 (644)",1631
08113,"""San Miguel, (CO)""",38.1,"26.6 - 148.6 (644)",770
16001,"""Ada, (ID)""",136.9,"26.6 - 148.6 (644)",2938
16005,"""Bannock, (ID)""",132.6,"26.6 - 148.6 (644)",4051
16007,"""Bear Lake, (ID)""",169.5,"148.7 - 175.5 (644)",4197
16011,"""Bingham, (ID)""",183.1,"175.6 - 204.1 (644)",3943
16013,"""Blaine, (ID)""",74.1,"26.6 - 148.6 (644)",1843
16015,"""Boise, (ID)""",119.8,"26.6 - 148.6 (644)",3638
16019,"""Bonneville, (ID)""",194.2,"175.6 - 204.1 (644)",3984
16023,"""Butte, (ID)""",140.1,"26.6 - 148.6 (644)",5439
16025,"""Camas, (ID)""",119.4,"26.6 - 148.6 (644)",1813
16027,"""Canyon, (ID)""",199.6,"175.6 - 204.1 (644)",3510
16029,"""Caribou, (ID)""",152.6,"148.7 - 175.5 (644)",4146
16031,"""Cassia, (ID)""",154.7,"148.7 - 175.5 (644)",2486
16033,"""Clark, (ID)""",161.7,"148.7 - 175.5 (644)",1332
16037,"""Custer, (ID)""",117.7,"26.6 - 148.6 (644)",4115
16039,"""Elmore, (ID)""",153.6,"148.7 - 175.5 (644)",4134
16041,"""Franklin, (ID)""",110.4,"26.6 - 148.6 (644)",3613
16043,"""Fremont, (ID)""",167.7,"148.7 - 175.5 (644)",3083
16045,"""Gem, (ID)""",170,"148.7 - 175.5 (644)",3449
16047,"""Gooding, (ID)""",200.1,"175.6 - 204.1 (644)",5942
16051,"""Jefferson, (ID)""",192.5,"175.6 - 204.1 (644)",2846
16053,"""Jerome, (ID)""",171.3,"148.7 - 175.5 (644)",3843
16063,"""Lincoln, (ID)""",184.7,"175.6 - 204.1 (644)",2899
16065,"""Madison, (ID)""",206.7,"204.2 - 242.8 (644)",4003
16067,"""Minidoka, (ID)""",120.3,"26.6 - 148.6 (644)",3970
16071,"""Oneida, (ID)""",210.4,"204.2 - 242.8 (644)",4168
16073,"""Owyhee, (ID)""",175.8,"175.6 - 204.1 (644)",2504
16075,"""Payette, (ID)""",199.6,"175.6 - 204.1 (644)",2632
16077,"""Power, (ID)""",135.1,"26.6 - 148.6 (644)",3277
16081,"""Teton, (ID)""",117.2,"26.6 - 148.6 (644)",2865
16083,"""Twin Falls, (ID)""",163.8,"148.7 - 175.5 (644)",3776
16087,"""Washington, (ID)""",168.8,"148.7 - 175.5 (644)",4531
32001,"""Churchill, (NV)""",260.4,"242.9 - 651.5 (644)",3323
32003,"""Clark, (NV)""",211.3,"204.2 - 242.8 (644)",5906
32005,"""Douglas, (NV)""",172.6,"148.7 - 175.5 (644)",2723
32007,"""Elko, (NV)""",157.6,"148.7 - 175.5 (644)",3574
32009,"""Esmeralda, (NV)""",186.5,"175.6 - 204.1 (644)",3661
32011,"""Eureka, (NV)""",231.4,"204.2 - 242.8 (644)",5319
32013,"""Humboldt, (NV)""",220.5,"204.2 - 242.8 (644)",3376
32015,"""Lander, (NV)""",230.2,"204.2 - 242.8 (644)",1775
32017,"""Lincoln, (NV)""",169.6,"148.7 - 175.5 (644)",3408
32019,"""Lyon, (NV)""",239.4,"204.2 - 242.8 (644)",3085
32021,"""Mineral, (NV)""",233.8,"204.2 - 242.8 (644)",5428
32023,"""Nye, (NV)""",252.9,"242.9 - 651.5 (644)",4522
32027,"""Pershing, (NV)""",246.4,"242.9 - 651.5 (644)",3946
32029,"""Storey, (NV)""",241.4,"204.2 - 242.8 (644)",3447
32031,"""Washoe, (NV)""",244.6,"242.9 - 651.5 (644)",3131
32033,"""White Pine, (NV)""",182.3,"175.6 - 204.1 (644)",3450
32510,"""Carson City, (NV)""",250.6,"242.9 - 651.5 (644)",3566
35003,"""Catron, (NM)""",231,"204.2 - 242.8 (644)",3128
35006,"""Cibola, (NM)""",192.9,"175.6 - 204.1 (644)",4162
35013,"""Do̱a Ana, (NM)""",154.6,"148.7 - 175.5 (644)",4005
35017,"""Grant, (NM)""",194.2,"175.6 - 204.1 (644)",2770
35023,"""Hidalgo, (NM)""",224.6,"204.2 - 242.8 (644)",3701
35029,"""Luna, (NM)""",255.2,"242.9 - 651.5 (644)",3945
35031,"""McKinley, (NM)""",172.9,"148.7 - 175.5 (644)",2988
35043,"""Sandoval, (NM)""",173.6,"148.7 - 175.5 (644)",3035
35045,"""San Juan, (NM)""",160.3,"148.7 - 175.5 (644)",3638
35051,"""Sierra, (NM)""",330.6,"242.9 - 651.5 (644)",4162
35053,"""Socorro, (NM)""",240.4,"204.2 - 242.8 (644)",2595
35061,"""Valencia, (NM)""",195.1,"175.6 - 204.1 (644)",2790
41023,"""Grant, (OR)""",156,"148.7 - 175.5 (644)",4721
41025,"""Harney, (OR)""",138.2,"26.6 - 148.6 (644)",3181
41045,"""Malheur, (OR)""",201.3,"175.6 - 204.1 (644)",3658
49001,"""Beaver, (UT)""",129.7,"26.6 - 148.6 (644)",5861
49003,"""Box Elder, (UT)""",201.6,"175.6 - 204.1 (644)",3651
49005,"""Cache, (UT)""",97.2,"26.6 - 148.6 (644)",3496
49007,"""Carbon, (UT)""",249.4,"242.9 - 651.5 (644)",3774
49009,"""Daggett, (UT)""",153.3,"148.7 - 175.5 (644)",3229
49011,"""Davis, (UT)""",132.1,"26.6 - 148.6 (644)",3784
49013,"""Duchesne, (UT)""",155.1,"148.7 - 175.5 (644)",2504
49015,"""Emery, (UT)""",219.5,"204.2 - 242.8 (644)",3328
49017,"""Garfield, (UT)""",138.1,"26.6 - 148.6 (644)",4804
49019,"""Grand, (UT)""",138.4,"26.6 - 148.6 (644)",4915
49021,"""Iron, (UT)""",120.5,"26.6 - 148.6 (644)",2508
49023,"""Juab, (UT)""",120.5,"26.6 - 148.6 (644)",5732
49025,"""Kane, (UT)""",162.1,"148.7 - 175.5 (644)",2613
49027,"""Millard, (UT)""",123,"26.6 - 148.6 (644)",5121
49029,"""Morgan, (UT)""",133.6,"26.6 - 148.6 (644)",3264
49031,"""Piute, (UT)""",151.7,"148.7 - 175.5 (644)",6799
49033,"""Rich, (UT)""",133.8,"26.6 - 148.6 (644)",2605
49035,"""Salt Lake, (UT)""",123.5,"26.6 - 148.6 (644)",4155
49037,"""San Juan, (UT)""",131.9,"26.6 - 148.6 (644)",3300
49039,"""Sanpete, (UT)""",139.8,"26.6 - 148.6 (644)",3501
49041,"""Sevier, (UT)""",144.5,"26.6 - 148.6 (644)",3308
49043,"""Summit, (UT)""",115.2,"26.6 - 148.6 (644)",2849
49045,"""Tooele, (UT)""",122.5,"26.6 - 148.6 (644)",4454
49047,"""Uintah, (UT)""",156.2,"148.7 - 175.5 (644)",2688
49049,"""Utah, (UT)""",121,"26.6 - 148.6 (644)",4050
49051,"""Wasatch, (UT)""",125.4,"26.6 - 148.6 (644)",3224
49053,"""Washington, (UT)""",101.8,"26.6 - 148.6 (644)",2604
49055,"""Wayne, (UT)""",147.2,"26.6 - 148.6 (644)",4328
49057,"""Weber, (UT)""",149.2,"148.7 - 175.5 (644)",4000
56003,"""Big Horn, (WY)""",209,"204.2 - 242.8 (644)",3298
56007,"""Carbon, (WY)""",149.2,"148.7 - 175.5 (644)",4007
56013,"""Fremont, (WY)""",183.2,"175.6 - 204.1 (644)",2428
56017,"""Hot Springs, (WY)""",180.9,"175.6 - 204.1 (644)",2697
56023,"""Lincoln, (WY)""",140,"26.6 - 148.6 (644)",3345
56025,"""Natrona, (WY)""",178.7,"175.6 - 204.1 (644)",3761
56029,"""Park, (WY)""",137.7,"26.6 - 148.6 (644)",1984
56035,"""Sublette, (WY)""",133.7,"26.6 - 148.6 (644)",1889
56037,"""Sweetwater, (WY)""",187.6,"175.6 - 204.1 (644)",4347
56039,"""Teton, (WY)""",78.3,"26.6 - 148.6 (644)",1815
56041,"""Uinta, (WY)""",153.3,"148.7 - 175.5 (644)",3797
56043,"""Washakie, (WY)""",149.5,"148.7 - 175.5 (644)",4513
22031,"""De Soto, (LA)""",177.5,"175.6 - 204.1 (644)",6806
