"cnty_fips","display_name","Value","theme_range","prev_hd"
49005,"""Cache, (UT)""",97.2,"26.6 - 148.6 (644)",25.3
49007,"""Carbon, (UT)""",249.4,"242.9 - 651.5 (644)",29.4
49009,"""Daggett, (UT)""",153.3,"148.7 - 175.5 (644)",22
49011,"""Davis, (UT)""",132.1,"26.6 - 148.6 (644)",28.6
49013,"""Duchesne, (UT)""",155.1,"148.7 - 175.5 (644)",32.5
49015,"""Emery, (UT)""",219.5,"204.2 - 242.8 (644)",33.3
49017,"""Garfield, (UT)""",138.1,"26.6 - 148.6 (644)",28.2
49019,"""Grand, (UT)""",138.4,"26.6 - 148.6 (644)",26.1
49021,"""Iron, (UT)""",120.5,"26.6 - 148.6 (644)",33.8
49023,"""Juab, (UT)""",120.5,"26.6 - 148.6 (644)",30.6
49025,"""Kane, (UT)""",162.1,"148.7 - 175.5 (644)",26.6
49027,"""Millard, (UT)""",123,"26.6 - 148.6 (644)",27.3
49029,"""Morgan, (UT)""",133.6,"26.6 - 148.6 (644)",29
49031,"""Piute, (UT)""",151.7,"148.7 - 175.5 (644)",26.9
49033,"""Rich, (UT)""",133.8,"26.6 - 148.6 (644)",21.2
49035,"""Salt Lake, (UT)""",123.5,"26.6 - 148.6 (644)",29.4
49037,"""San Juan, (UT)""",131.9,"26.6 - 148.6 (644)",25.7
49039,"""Sanpete, (UT)""",139.8,"26.6 - 148.6 (644)",28.6
49041,"""Sevier, (UT)""",144.5,"26.6 - 148.6 (644)",29.4
49043,"""Summit, (UT)""",115.2,"26.6 - 148.6 (644)",27.8
49045,"""Tooele, (UT)""",122.5,"26.6 - 148.6 (644)",29.9
49047,"""Uintah, (UT)""",156.2,"148.7 - 175.5 (644)",28.7
49049,"""Utah, (UT)""",121,"26.6 - 148.6 (644)",30.6
49051,"""Wasatch, (UT)""",125.4,"26.6 - 148.6 (644)",27.2
49053,"""Washington, (UT)""",101.8,"26.6 - 148.6 (644)",29.9
