"cnty_fips","display_name","Value","theme_range","inp_inc"
48243,"""Jeff Davis, (TX)""",139.1,"26.6 - 148.6 (644)",2980
48245,"""Jefferson, (TX)""",224.5,"204.2 - 242.8 (644)",4426
48247,"""Jim Hogg, (TX)""",194.5,"175.6 - 204.1 (644)",5973
48249,"""Jim Wells, (TX)""",362.2,"242.9 - 651.5 (644)",4746
48255,"""Karnes, (TX)""",216.8,"204.2 - 242.8 (644)",5192
48259,"""Kendall, (TX)""",173,"148.7 - 175.5 (644)",3785
48261,"""Kenedy, (TX)""",209.8,"204.2 - 242.8 (644)",-9999
48265,"""Kerr, (TX)""",148.5,"26.6 - 148.6 (644)",4729
48267,"""Kimble, (TX)""",224.8,"204.2 - 242.8 (644)",6007
48271,"""Kinney, (TX)""",157.8,"148.7 - 175.5 (644)",5021
48273,"""Kleberg, (TX)""",299.9,"242.9 - 651.5 (644)",5050
48281,"""Lampasas, (TX)""",159,"148.7 - 175.5 (644)",4648
48283,"""La Salle, (TX)""",216,"204.2 - 242.8 (644)",5033
48285,"""Lavaca, (TX)""",252.7,"242.9 - 651.5 (644)",5234
48287,"""Lee, (TX)""",158.6,"148.7 - 175.5 (644)",5118
48289,"""Leon, (TX)""",141.9,"26.6 - 148.6 (644)",5486
48291,"""Liberty, (TX)""",314.6,"242.9 - 651.5 (644)",6873
48293,"""Limestone, (TX)""",223.2,"204.2 - 242.8 (644)",4511
48297,"""Live Oak, (TX)""",163.5,"148.7 - 175.5 (644)",6054
