"cnty_fips","display_name","Value","theme_range","ou_inc"
06027,"""Inyo, (CA)""",188.9,"175.6 - 204.1 (644)",5065
06029,"""Kern, (CA)""",247.1,"242.9 - 651.5 (644)",1966
06037,"""Los Angeles, (CA)""",198.6,"175.6 - 204.1 (644)",1325
06039,"""Madera, (CA)""",173.5,"148.7 - 175.5 (644)",1296
06051,"""Mono, (CA)""",150.9,"148.7 - 175.5 (644)",3044
06059,"""Orange, (CA)""",148.8,"148.7 - 175.5 (644)",1660
06065,"""Riverside, (CA)""",211.7,"204.2 - 242.8 (644)",2223
06071,"""San Bernardino, (CA)""",206.7,"204.2 - 242.8 (644)",1773
06073,"""San Diego, (CA)""",149,"148.7 - 175.5 (644)",1962
06107,"""Tulare, (CA)""",234.9,"204.2 - 242.8 (644)",1657
06111,"""Ventura, (CA)""",156.6,"148.7 - 175.5 (644)",1473
08007,"""Archuleta, (CO)""",136.8,"26.6 - 148.6 (644)",3778
08029,"""Delta, (CO)""",174.5,"148.7 - 175.5 (644)",2570
08033,"""Dolores, (CO)""",130.2,"26.6 - 148.6 (644)",2288
08045,"""Garfield, (CO)""",140.2,"26.6 - 148.6 (644)",3636
08051,"""Gunnison, (CO)""",88.4,"26.6 - 148.6 (644)",4060
08053,"""Hinsdale, (CO)""",114.7,"26.6 - 148.6 (644)",2264
08067,"""La Plata, (CO)""",134.9,"26.6 - 148.6 (644)",2710
08077,"""Mesa, (CO)""",207.6,"204.2 - 242.8 (644)",2054
08079,"""Mineral, (CO)""",139.1,"26.6 - 148.6 (644)",755
08081,"""Moffat, (CO)""",170.8,"148.7 - 175.5 (644)",5486
08083,"""Montezuma, (CO)""",152.5,"148.7 - 175.5 (644)",3465
08085,"""Montrose, (CO)""",153.1,"148.7 - 175.5 (644)",2185
08091,"""Ouray, (CO)""",84,"26.6 - 148.6 (644)",2023
08097,"""Pitkin, (CO)""",39.7,"26.6 - 148.6 (644)",4595
08103,"""Rio Blanco, (CO)""",130.6,"26.6 - 148.6 (644)",5383
08107,"""Routt, (CO)""",79.8,"26.6 - 148.6 (644)",2007
08111,"""San Juan, (CO)""",117.1,"26.6 - 148.6 (644)",3286
08113,"""San Miguel, (CO)""",38.1,"26.6 - 148.6 (644)",2281
16001,"""Ada, (ID)""",136.9,"26.6 - 148.6 (644)",2723
16005,"""Bannock, (ID)""",132.6,"26.6 - 148.6 (644)",3412
16007,"""Bear Lake, (ID)""",169.5,"148.7 - 175.5 (644)",4027
16011,"""Bingham, (ID)""",183.1,"175.6 - 204.1 (644)",5058
16013,"""Blaine, (ID)""",74.1,"26.6 - 148.6 (644)",3321
16015,"""Boise, (ID)""",119.8,"26.6 - 148.6 (644)",2136
16019,"""Bonneville, (ID)""",194.2,"175.6 - 204.1 (644)",2496
16023,"""Butte, (ID)""",140.1,"26.6 - 148.6 (644)",5537
16025,"""Camas, (ID)""",119.4,"26.6 - 148.6 (644)",8153
16027,"""Canyon, (ID)""",199.6,"175.6 - 204.1 (644)",2886
